"Salamanca Aeropuerto"
Actualizado: martes, 16 julio 2019 a las 18:42 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"16/07/2019 18:00","32.0","9","Norte","17","Norte","0.0","922.4","-1.0","26"
"16/07/2019 17:00","32.7","10","Nordeste","17","Nordeste","0.0","922.8","-1.2","25"
"16/07/2019 16:00","32.9","13","Nordeste","21","Nordeste","0.0","923.2","-1.3","24"
"16/07/2019 15:00","31.4","9","Norte","18","Este","0.0","923.4","-1.5","27"
"16/07/2019 14:00","30.6","9","Norte","21","Nordeste","0.0","924.0","-1.0","28"
"16/07/2019 13:00","29.4","12","Este","21","Este","0.0","924.5","-0.6","30"
"16/07/2019 12:00","26.8","13","Este","18","Este","0.0","924.9","-0.1","33"
"16/07/2019 11:00","23.2","7","Nordeste","13","Nordeste","0.0","925.0","0.3","41"
"16/07/2019 10:00","20.9","7","Este","21","Este","0.0","925.1","0.3","44"
"16/07/2019 09:00","18.3","13","Este","21","Este","0.0","925.0","0.5","48"
"16/07/2019 08:00","16.2","11","Este","21","Este","0.0","924.7","0.1","51"
"16/07/2019 07:00","15.8","11","Este","22","Este","0.0","924.8","-0.2","61"
"16/07/2019 06:00","17.2","14","Este","22","Este","0.0","924.5","-0.8","59"
"16/07/2019 05:00","17.3","13","Este","18","Este","0.0","924.6","-0.7","62"
"16/07/2019 04:00","17.0","10","Nordeste","15","Este","0.0","925.0","-0.3","64"
"16/07/2019 03:00","18.2","6","Este","15","Este","0.0","925.3","0.3","58"
"16/07/2019 02:00","19.4","9","Este","18","Este","0.0","925.3","0.6","53"
"16/07/2019 01:00","19.6","14","Este","18","Este","0.0","925.3","1.1","55"
"16/07/2019 00:00","20.9","12","Este","15","Este","0.0","925.0","1.1","52"
"15/07/2019 23:00","22.3","9","Nordeste","17","Nordeste","0.0","924.7","1.1","47"
"15/07/2019 22:00","23.9","10","Nordeste","17","Norte","0.0","924.2","0.6","42"
"15/07/2019 21:00","27.8","10","Norte","17","Norte","0.0","923.9","0.0","35"
"15/07/2019 20:00","30.4","11","Norte","21","Norte","0.0","923.6","-0.8","27"
"15/07/2019 19:00","30.8","10","Norte","17","Noroeste","0.0","923.6","-1.1","24"
